  Particle         ID     Status                         E                        px                        py                        pz                         m          Charge    Visible
         5         21         23    6.0475615418549104e+01   -3.2292656372000003e+01   -4.8535955674999997e+01    1.6085565312000000e+01    0.0000000000000000e+00               0          1
         6          2         23    1.0206341870844921e+02    7.6905950224999998e+01   -7.0953145125999999e+00   -6.6723854583000005e+01    0.0000000000000000e+00               0          1
         7         -2         23    8.7460965872998784e+01   -4.4613293853000002e+01    5.5631270188000002e+01    5.0638289270999998e+01    0.0000000000000000e+00               0          1
