# l  H_ME_l   H_ME_(l+1)   H_finalState_l   H_finalState_(l+1)
  -1 nan 1. nan 1.
 133  4.9177739523270780e-01  3.6454725281079448e-01  1.3861886209709201e-01  1.5104812849618551e-01
 135  4.8923049012149405e-01  3.7703933917428772e-01  1.3847829182833574e-01  1.4973911996545192e-01
 137  4.8511784714565814e-01  3.8262288435483793e-01  1.3869045385466905e-01  1.4832924910068268e-01
 139  4.7428809102304909e-01  3.8571429438024235e-01  1.3747019558426291e-01  1.4847084411453773e-01
 141  4.5618808147550582e-01  3.9380620712241965e-01  1.3861237025834017e-01  1.4769020921574103e-01
 143  4.3458041204012432e-01  4.1195033414970134e-01  1.4110677448281417e-01  1.4626281212520154e-01
 145  4.1432289109866671e-01  4.3859962637668493e-01  1.4376103379319163e-01  1.4525400861069540e-01
 147  3.9805886139612695e-01  4.6603282561475817e-01  1.4492723656830162e-01  1.4357731003683163e-01
 149  3.8529207031306723e-01  4.8529825905346430e-01  1.4701953706409668e-01  1.4186929614758492e-01
 151  3.7407404912613346e-01  4.9223607778034895e-01  1.4863904059825567e-01  1.3969956088239413e-01
 153  3.6339696403889354e-01  4.9023712650991025e-01  1.4890669469197890e-01  1.3798992149151007e-01
 155  3.5408143964384220e-01  4.8770783052855210e-01  1.4831659604516520e-01  1.3567785916374375e-01
 157  3.4756252102794521e-01  4.9204622030832429e-01  1.4662880166336867e-01  1.3486993409131232e-01
 159  3.4398601748757784e-01  5.0444824029090918e-01  1.4535852105726738e-01  1.3307539068118421e-01
 161  3.4165080322957098e-01  5.1920341601768238e-01  1.4363023595645749e-01  1.3259968683726156e-01
 163  3.3854526442890504e-01  5.2783481862578507e-01  1.4129354281186093e-01  1.3316041325918715e-01
 165  3.3468430132990512e-01  5.2497279381724749e-01  1.3704148359736448e-01  1.3554448538415131e-01
 167  3.3299345305746142e-01  5.1176349782085362e-01  1.3538152272981435e-01  1.3640118290091868e-01
 169  3.3754498919387915e-01  4.9459988060379889e-01  1.3416904123094106e-01  1.3705385629096517e-01
 171  3.5022836446850547e-01  4.8042504638804140e-01  1.3334812594231515e-01  1.3830707922551508e-01
 173  3.6852054175276755e-01  4.7218601333403376e-01  1.3195018477803624e-01  1.4003379991197085e-01
 175  3.8646577018181905e-01  4.6758467096636469e-01  1.3328548171000895e-01  1.3983637583521843e-01
 177  3.9855414191148753e-01  4.6160377000982511e-01  1.3607806448847470e-01  1.3831799499548422e-01
 179  4.0376511203324816e-01  4.5052813120987767e-01  1.3984628847290906e-01  1.3732325837437520e-01
 181  4.0661236434618914e-01  4.3438636579178858e-01  1.4304628367148051e-01  1.3581989157958368e-01
 183  4.1409324223517013e-01  4.1631119106551584e-01  1.4684154988229059e-01  1.3450854224097683e-01
 185  4.3053408312110064e-01  3.9982569182391337e-01  1.5177137442610036e-01  1.3244980422372915e-01
 187  4.5406451572108292e-01  3.8648333105513355e-01  1.5668711059843157e-01  1.3106530143983589e-01
 189  4.7742686327276918e-01  3.7562707371881138e-01  1.6002889025397199e-01  1.3031192687629001e-01
 191  4.9270465640966665e-01  3.6603390000204966e-01  1.6167918520048374e-01  1.3176010147885675e-01
 193  4.9664488006223684e-01  3.5764066666529626e-01  1.6374535603218288e-01  1.3185369851740200e-01
 195  4.9275171921124389e-01  3.5168777892793379e-01  1.6576026848092790e-01  1.3202104045557678e-01
 197  4.8865018426872497e-01  3.4923373976224426e-01  1.6587382554836858e-01  1.3410954520206794e-01
 199  4.9064225687425839e-01  3.4959667303249442e-01  1.6250697919219317e-01  1.3795461346972188e-01
 201  4.9936765584496912e-01  3.5042572134229344e-01  1.5918858233792152e-01  1.4058004974931088e-01
 203  5.0959064214699978e-01  3.4963881403510710e-01  1.5580906855170035e-01  1.4293707381950138e-01
 205  5.1408238779344528e-01  3.4765331040627634e-01  1.5188019215001047e-01  1.4760088166082186e-01
 207  5.0865687072455490e-01  3.4780556184207811e-01  1.4611453560069204e-01  1.5310539767209344e-01
 209  4.9476830545901063e-01  3.5418692604609364e-01  1.4127071192924767e-01  1.5881126281865660e-01
 211  4.7805310308249571e-01  3.6831067497703818e-01  1.3695810147556720e-01  1.6251982837162932e-01
 213  4.6420491688634430e-01  3.8724879251351663e-01  1.3490621057790664e-01  1.6606830332503308e-01
 215  4.5533962778055742e-01  4.0500395305141434e-01  1.3343381390632578e-01  1.6869536250809575e-01
 217  4.4933196808628317e-01  4.1644800780915314e-01  1.3236471786858897e-01  1.7195498366965783e-01
 219  4.4218673174320056e-01  4.2103002143568868e-01  1.3235962408869692e-01  1.7145441901026831e-01
 221  4.3129996845935614e-01  4.2337792261229956e-01  1.3469707689070221e-01  1.6930776375945647e-01
 223  4.1710599895425982e-01  4.3009324532854631e-01  1.3836497917688251e-01  1.6679309857177854e-01
 225  4.0218063574998453e-01  4.4489588418047715e-01  1.4253729754437280e-01  1.6560069442502859e-01
 227  3.8896243027182453e-01  4.6563322230824994e-01  1.4747495566329621e-01  1.6275193549410172e-01
 229  3.7816312834633647e-01  4.8542155842270368e-01  1.5206608081285822e-01  1.5976429725966942e-01
 231  3.6905460023243808e-01  4.9720192862521473e-01  1.5611303892087888e-01  1.5832435774620629e-01
 233  3.6103794198540623e-01  4.9847898243518074e-01  1.5776509623477925e-01  1.5786262366114315e-01
 235  3.5479984823494337e-01  4.9285773001939381e-01  1.5846529853456670e-01  1.5774084755047499e-01
 237  3.5185725937600254e-01  4.8732233687922433e-01  1.5829576622734126e-01  1.5748938496268097e-01
 239  3.5288928294313859e-01  4.8727756994191451e-01  1.5792532360893988e-01  1.5849762108927656e-01
 241  3.5650523525612626e-01  4.9292055266724089e-01  1.5682151847710005e-01  1.5963158095817087e-01
 243  3.5984931938672954e-01  4.9942836636922766e-01  1.5637377852899059e-01  1.6196613125996850e-01
 245  3.6084591166532631e-01  5.0061274553818713e-01  1.5598579576181218e-01  1.6267289281872815e-01
 247  3.6029684628193365e-01  4.9325065906073939e-01  1.5657680904090368e-01  1.6324362072964907e-01
 249  3.6188203425071214e-01  4.7901431938741812e-01  1.5750605594832620e-01  1.6371425437119042e-01
 251  3.6966510415030707e-01  4.6287858024718170e-01  1.5746624873779574e-01  1.6499732628969505e-01
 253  3.8479233830657272e-01  4.4949519873381866e-01  1.5745990682835542e-01  1.6394004342846849e-01
 255  4.0397588480729263e-01  4.4032117178821151e-01  1.5815224289954202e-01  1.6298535899453523e-01
