#
    0 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 1.0000000000000000e+00 
    1 1.9515639104739080e-18 1.8354875816595752e-18 9.5375508001702960e-05 8.9590804012370314e-05 
    2 1.9013781163763248e-03 1.5819790361135309e-03 1.5520041129237837e-03 1.2864723417769929e-03 
    3 2.6630974810017093e-02 1.8438684671688934e-02 2.8829489599256804e-02 1.9812326965867877e-02 
    4 2.9715657832333063e-02 1.6108816533479113e-02 2.9713934357093054e-02 1.5908972800531381e-02 
    5 3.7436616805289584e-02 1.4953317738900157e-02 3.6023294734733854e-02 1.4123757017051689e-02 
    6 1.4384407395920165e-01 3.9851923704664297e-02 1.4382116940717438e-01 3.8824871064167370e-02 
    7 6.0437330906011028e-02 1.0936587297241295e-02 6.0058448912618793e-02 1.0499668945247245e-02 
    8 1.3107101175374439e-01 1.4594059429585728e-02 1.2323282460607086e-01 1.3128561314407237e-02 
    9 4.1628131648271338e-02 2.6879053447528890e-03 5.2911336503204204e-02 3.2337464653329306e-03 
   10 2.7997937458772930e-02 9.8851919150204945e-04 3.1521878805020664e-02 1.0409623867367133e-03 
   11 8.2111216770357584e-02 1.4955292980817375e-03 7.6198505631963787e-02 1.2813689623883896e-03 
   12 9.7664045898140289e-02 8.6617256073334150e-04 9.9460034571846448e-02 8.0311245674596216e-04 
   13 6.9007293209505369e-02 2.8147668372459719e-04 7.1707693713516596e-02 2.6233686020377085e-04 
   14 8.6080817297800608e-02 1.5261630925163567e-04 7.0863135953625089e-02 1.1089931583521816e-04 
   15 7.7493492701340316e-02 5.6474986813112339e-05 8.0140548444010390e-02 5.0689647846429194e-05 
   16 5.9171683528227603e-02 1.6774109861789383e-05 7.0145765629968493e-02 1.6954080011453057e-05 
   17 5.7033794307271610e-02 5.9556306059034074e-06 6.9559865322175618e-02 6.0784984714533561e-06 
   18 8.2644432843182986e-02 3.0124352048666430e-06 6.0543830696504881e-02 1.8111287596667023e-06 
   19 7.9838839261120564e-02 9.6332803211289487e-07 8.1269226857984100e-02 7.8858309636827631e-07 
   20 8.8234137590536221e-02 3.3443538952281523e-07 7.9018657114458796e-02 2.3584117590039226e-07 
   21 8.4283531867457018e-02 9.5303508458966397e-08 1.0416983077106878e-01 9.0752067477608655e-08 
   22 5.8205252775774846e-02 1.8659968029072281e-08 5.4589474398072727e-02 1.3183616966331930e-08 
   23 5.3300931275117987e-02 4.6076110818221931e-09 5.1616444771070094e-02 3.2842964199910806e-09 
   24 7.1393907091663489e-02 1.5838786627569176e-09 8.0295017922016154e-02 1.2803227334924526e-09 
