#                     z                      raw                 natural                    under                     over
-9.9975585937500000e-01  1.0835968367344062e+01  2.5694420722813501e-03  4.4438666970447360e-01  5.6633073982370030e-01
-9.9926757812500000e-01  -6.3451082491015134e+00  4.4257531314727244e-03  -2.6025236466786467e-01  5.7310332965201416e-01
-9.9877929687500000e-01  -6.5880297601651785e+00  5.4592409625768964e-03  -2.6691014998210366e-01  5.7986709152934834e-01
-9.9829101562500000e-01  5.5417561621796834e+00  5.7214072462938867e-03  2.3109043337745222e-01  5.8662186294645613e-01
-9.9780273437500000e-01  2.7321743563493510e+00  5.4170731696505606e-03  1.4472475154476636e-01  5.9336748276413354e-01
-9.9731445312500000e-01  -2.5997843634541642e+00  4.7768486397790702e-03  -1.0637292024714680e-01  6.0010379120960489e-01
-9.9682617187500000e-01  -3.7485635455954278e+00  3.9941391293407914e-03  -1.5365348805215470e-01  6.0683062987287084e-01
-9.9633789062500000e-01  -2.5673305968635458e+00  3.2048494122464011e-03  -1.0525489764436080e-01  6.1354784170302223e-01
-9.9584960937500000e-01  7.5680135257394865e-01  2.4901594036932937e-03  3.1053139223451150e-02  6.2025527100452327e-01
-9.9536132812500000e-01  4.6471698121051954e+00  1.8887916180545107e-03  1.9059461752654175e-01  6.2695276343345774e-01
-9.9487304687500000e-01  3.8330541498695903e+00  1.4109412595141621e-03  1.5720263256816072e-01  6.3364016599374773e-01
-9.9438476562500000e-01  -2.8667830103729202e+00  1.0501890563805710e-03  -1.1757915841625266e-01  6.4031732703333377e-01
-9.9389648437500000e-01  -3.7769120812505506e+00  7.9223236996212617e-04  -1.5490915813685152e-01  6.4698409624032915e-01
-9.9340820312500000e-01  3.9526137542740347e+00  6.2055786574460674e-04  1.6211584114849087e-01  6.5364032463914312e-01
-9.9291992187500000e-01  8.5311969387615616e-01  5.1969037390621161e-04  3.4995791237782736e-02  6.6028586458656735e-01
-9.9243164062500000e-01  -4.3042386479742598e+00  4.7674124296243840e-04  -1.7654719821046405e-01  6.6692056976784220e-01
-9.9194335937500000e-01  4.0794295596473926e+00  4.8187794133418109e-04  1.6732474128360408e-01  6.7354429519268277e-01
-9.9145507812500000e-01  -1.5460378151000200e+00  5.2817778859705713e-04  -6.3271573701297851e-02  6.8015689719128569e-01
