  Particle         ID     Status                         E                        px                        py                        pz                         m          Charge    Visible
         5         21         23    2.2600063877935398e+01   -1.9318055228999999e+01    1.0421249198000000e+01   -5.3826754137000004e+00    0.0000000000000000e+00               0          1
         6          3         23    1.0338571762282898e+02   -6.3811085519999999e+01    8.1322672228000002e+01   -1.8371050171000001e+00    0.0000000000000000e+00               0          1
         7         -3         23    1.2401421849901864e+02    8.3129140750000005e+01   -9.1743921426000000e+01    7.2197804308000002e+00    0.0000000000000000e+00               0          1
