# l  H_ME_l   H_ME_(l+1)   H_finalState_l   H_finalState_(l+1)
  -1 nan 1. nan 1.
  69  3.2461388516026990e-01  3.5396134127978823e-01  8.9703117320955345e-02  8.0087471071017505e-02
  71  3.3097121539753016e-01  3.7334026506422907e-01  7.6973480641104028e-02  9.3079419677290734e-02
  73  3.4050629647678254e-01  3.2915679041805856e-01  6.7027664189668171e-02  7.2594504579232069e-02
  75  3.7281435660172968e-01  3.2172904553712989e-01  8.0781375854398846e-02  7.0323905703910367e-02
  77  3.8039387248753254e-01  3.2618077308140625e-01  7.3000083536155558e-02  6.3356072648599798e-02
  79  3.2291423012964193e-01  4.1211587989087112e-01  7.0441789681569611e-02  7.1844295999219682e-02
  81  2.9825650177882945e-01  3.4480953829593708e-01  5.8728903101322630e-02  6.3008557837014367e-02
  83  3.7979529625796582e-01  3.2361367626799237e-01  6.0849111494095623e-02  6.4474067676783361e-02
  85  3.6160722612654533e-01  3.2872978540002662e-01  5.7749465180442432e-02  5.1978275376091641e-02
  87  3.6287181950237435e-01  3.5280450787055917e-01  6.4419783280888987e-02  5.3708120293328582e-02
  89  3.2957936279215716e-01  3.6159293787183594e-01  5.4874193203246380e-02  5.5193917801945096e-02
  91  3.3052787789963400e-01  3.7939139251109305e-01  4.8184884609131499e-02  6.0588892956516260e-02
  93  3.2410446007289628e-01  3.2570223674056403e-01  4.5701867012532024e-02  4.5959198231801952e-02
  95  4.0693345722368490e-01  3.0248506918182400e-01  5.7747361196919852e-02  4.4828299575726017e-02
  97  3.4765726782826101e-01  3.7325497289812348e-01  5.3103590487519788e-02  4.6163260299481215e-02
  99  3.2318450253105485e-01  3.6972373014651638e-01  4.6576391326935696e-02  5.7697531534502453e-02
 101  3.2538447923603508e-01  3.5450986226920023e-01  4.2195935115222960e-02  5.1776448387992870e-02
 103  3.6322699087500832e-01  3.2904289674004444e-01  5.1060613210444736e-02  4.8576471164382587e-02
 105  3.5396590190358562e-01  3.3709415021530642e-01  5.4109363646583877e-02  4.4508071698738001e-02
 107  3.7669583804369877e-01  3.2503611219121420e-01  5.7440776045151923e-02  5.1804271303860637e-02
 109  3.2809496208996602e-01  3.9974989349979606e-01  4.9775794522423755e-02  5.6785335792000242e-02
 111  3.0792355009681022e-01  3.5126486801648082e-01  4.7418560385774924e-02  6.0935806928332344e-02
 113  3.6550521736402819e-01  3.2345544615906779e-01  5.2164912685950540e-02  5.1599649707870031e-02
 115  3.7736398977275720e-01  3.2169010733229031e-01  6.2563787798384743e-02  5.1308924802214349e-02
 117  3.4826886473442709e-01  3.7133006793809159e-01  6.5204047209622057e-02  5.6735025655511050e-02
 119  3.2792145274872764e-01  3.4973880939579693e-01  5.6629673392532179e-02  6.9718335438541834e-02
 121  3.4142251749992697e-01  3.7259183098014192e-01  5.5610551700126784e-02  6.8627528725767065e-02
 123  3.2867241873784120e-01  3.2989941682493057e-01  6.3554606960547683e-02  6.3397195560897762e-02
 125  3.9117970816080583e-01  3.1437831228168522e-01  7.3108661991846263e-02  6.0991638158706486e-02
 127  3.5493674512073758e-01  3.5740532288595050e-01  7.3449871506183595e-02  6.6323429483117230e-02
 129  3.2441635461184914e-01  3.8373898313498422e-01  6.8889259276382231e-02  7.4618975706013183e-02
 131  3.1831625929015972e-01  3.4411685706161343e-01  6.4179611602614067e-02  7.9175960194622461e-02
 133  3.7677619629612957e-01  3.2657565416038742e-01  6.8998712001522966e-02  7.4016223988621399e-02
 135  3.4861713432778585e-01  3.4355559581275785e-01  7.7101758115487543e-02  6.6834911681636813e-02
 137  3.6748804216380576e-01  3.3452326852521580e-01  8.5286894913146644e-02  7.0535769139835780e-02
 139  3.3097723022649506e-01  3.8195539640036691e-01  7.5388879435676445e-02  8.4111674184661062e-02
 141  3.2147821470387206e-01  3.5810576596929045e-01  6.9733111842230883e-02  8.4870945328356664e-02
 143  3.4979160861958841e-01  3.2594250877495412e-01  7.4281107399182034e-02  7.7199769609733349e-02
 145  3.8825659557182779e-01  3.1582967107103044e-01  8.6701259110339587e-02  7.3809426348252369e-02
 147  3.4191411684499717e-01  3.7941436534149398e-01  8.5520657716713563e-02  7.7333971586156805e-02
 149  3.2533848673237525e-01  3.5015312892938627e-01  8.0644542884741738e-02  8.4210821678287917e-02
 151  3.4365218893800809e-01  3.6186272027103450e-01  7.4764649571345224e-02  8.8020020700568052e-02
 153  3.4193809321087731e-01  3.3127558854106864e-01  7.8327142817702436e-02  8.6118970693825236e-02
 155  3.7284229327794943e-01  3.2874050558342616e-01  8.4863541514416607e-02  7.6251815608605888e-02
 157  3.6035261184206235e-01  3.4340806287314279e-01  9.3579445139620701e-02  7.7289568886087054e-02
 159  3.2782385581092466e-01  3.9055401955646474e-01  8.3798004731652970e-02  8.7335831922237095e-02
 161  3.1466160645189684e-01  3.4140112723205362e-01  7.6270359832026138e-02  9.0928937502195356e-02
 163  3.7931619839154179e-01  3.2448951581899194e-01  7.8580064842067573e-02  8.3075036253010978e-02
 165  3.5375149127876832e-01  3.4200957090118977e-01  8.8640188986229870e-02  7.8880587466943944e-02
 167  3.5620738978780331e-01  3.5015935962135941e-01  8.7959254113267646e-02  7.9505697640848083e-02
 169  3.3083970615681202e-01  3.6455848190705992e-01  8.5852904718547479e-02  8.5719848282598182e-02
 171  3.3563610510515929e-01  3.6142136583193341e-01  7.9407062693751765e-02  9.0924952375503132e-02
 173  3.3884257140556695e-01  3.2980018110453752e-01  7.9171917340417050e-02  8.8202049317532089e-02
 175  3.9051302740238275e-01  3.1507740420555791e-01  8.4661339740883995e-02  7.7577284351175779e-02
 177  3.4221548093357601e-01  3.7677807437457156e-01  9.4725095737392087e-02  7.7738482680501972e-02
 179  3.2422911335570576e-01  3.5870889342925472e-01  8.4291715791654565e-02  8.6610222880472224e-02
 181  3.3905488378742149e-01  3.5097374244703350e-01  7.6089928822766134e-02  8.9710351651424547e-02
 183  3.5839148838175239e-01  3.2980922239564481e-01  7.7047798304308440e-02  8.1936248150991348e-02
 185  3.5770484319436469e-01  3.4165399119786616e-01  8.6204037370268827e-02  7.7913032792620129e-02
 187  3.6122331295139126e-01  3.3647730250157792e-01  8.5356121066681334e-02  7.6894183376334649e-02
 189  3.3159986672812614e-01  3.8825388007377681e-01  8.3621821804796090e-02  7.9439230048218484e-02
 191  3.1715739793433484e-01  3.4392647146891131e-01  7.6088813609798495e-02  8.5743860615816320e-02
 193  3.7229502106558887e-01  3.2465944863382279e-01  7.3119214566627649e-02  8.3825438487315412e-02
 195  3.6427266610462472e-01  3.3531404248259933e-01  7.7903417508287665e-02  7.3197091755379820e-02
 197  3.4652883789396216e-01  3.6587532587225513e-01  8.7209153053759356e-02  7.0244952491287524e-02
 199  3.2840078916990789e-01  3.5271084689459542e-01  7.8111517958144916e-02  7.9510072117267322e-02
 201  3.4636067570533996e-01  3.5982615974866738e-01  7.1001938358326327e-02  8.3639124884227242e-02
 203  3.3645923101637343e-01  3.3297831921712662e-01  7.2955953935332149e-02  7.6518661705124669e-02
 205  3.8410765076626441e-01  3.2079417460665766e-01  7.9977795791203413e-02  7.2500995029812845e-02
 207  3.4607897631262374e-01  3.6651199039967608e-01  7.8309451953721160e-02  7.3429864147815882e-02
 209  3.2577623408332340e-01  3.6970746580189040e-01  7.8996815864732783e-02  7.4755193065138920e-02
 211  3.3136506132078902e-01  3.4312283676213340e-01  7.2662963291780222e-02  8.0451640950719244e-02
 213  3.7195915646076572e-01  3.2687996769534033e-01  7.0780801015578182e-02  7.9091344585690906e-02
 215  3.4980053974999875e-01  3.4944968963892609e-01  7.4472270026344850e-02  7.1360591398852993e-02
 217  3.5742915246900669e-01  3.3869413638327545e-01  8.2622526252466466e-02  6.9774556337174456e-02
 219  3.3375173201662878e-01  3.7856975783927571e-01  7.5292551274706854e-02  7.7652586312545721e-02
 221  3.2570802361087603e-01  3.4823942527022350e-01  7.0161855984470028e-02  7.9168557451191307e-02
 223  3.6015915690962397e-01  3.2747302868772221e-01  7.3296044645421068e-02  7.4581687079749284e-02
 225  3.7436047143700191e-01  3.2778272771901695e-01  7.7847320704682837e-02  7.3701872084840983e-02
 227  3.4087200318967448e-01  3.7615830165819814e-01  7.6572970899540863e-02  7.4330868613907322e-02
 229  3.2552648495435677e-01  3.4898121412484839e-01  7.9200503513857573e-02  7.4247629729822934e-02
 231  3.5077635285051112e-01  3.5432684760650229e-01  7.4504826540248065e-02  7.9761237196084231e-02
 233  3.4286466116613423e-01  3.3382222981172516e-01  7.1781037399912512e-02  8.1164694221429273e-02
 235  3.7223975769858453e-01  3.3147977458808853e-01  7.5900062501005741e-02  7.3135609840581220e-02
 237  3.5003761259404309e-01  3.5397889195190968e-01  8.2965453734014052e-02  7.0942159611327563e-02
 239  3.2955793142644219e-01  3.7771716602649641e-01  7.6565590828382615e-02  7.9942989537579209e-02
 241  3.2508171035351147e-01  3.3975791171232456e-01  7.3362502796332274e-02  8.1294751244664121e-02
 243  3.7819694326337672e-01  3.2459752158170846e-01  7.5506191392051836e-02  7.6404965764451563e-02
 245  3.5005489962513220e-01  3.5037436231921892e-01  7.9747089005267391e-02  7.6265698928451989e-02
 247  3.5086580278600582e-01  3.4847033826703061e-01  7.9082131479007473e-02  7.5802269137361614e-02
 249  3.3319142556513387e-01  3.6575392581217275e-01  8.1433227533059552e-02  7.7216168613206113e-02
 251  3.3759794819831734e-01  3.5119931907093122e-01  7.6134321512291978e-02  8.1639055514154846e-02
 253  3.4865255018006985e-01  3.3178074925605017e-01  7.3886978043507689e-02  8.2126672547024410e-02
 255  3.7944155698228432e-01  3.2366496971231123e-01  7.8218833475326488e-02  7.4671063583053213e-02
