# l  H_ME_l   H_ME_(l+1)   H_finalState_l   H_finalState_(l+1)
  -1 nan 1. nan 1.
   1  -2.0816681711721685e-17  3.8252095322224622e-01  1.1135933235262296e-06  3.6564881991338249e-01
   3  4.2364485912276051e-01  2.8306356789868525e-01  3.3005804552942386e-01  2.3042880117709286e-01
   5  4.2466703054399124e-01  2.4858961709415175e-01  3.9542826223171340e-01  1.8296671577543352e-01
   7  4.0152082643796067e-01  3.6449492396416783e-01  3.0799010597534271e-01  3.1090026366424295e-01
   9  3.1995898465263128e-01  3.5792177159355915e-01  2.6357774184702898e-01  2.6254282276617863e-01
  11  2.9543528051185419e-01  4.6482206545801552e-01  2.2809085631650167e-01  3.4468691738990803e-01
  13  2.6248111348876585e-01  3.0158917899945603e-01  2.0962051178288060e-01  2.4159379070242526e-01
  15  4.8397384209400135e-01  2.4320830789342779e-01  3.0259207327393850e-01  1.9307652720752036e-01
  17  3.6950632548881551e-01  3.7008668411733214e-01  3.1145921858892511e-01  1.9955224359078472e-01
  19  3.0772364260802515e-01  4.1149182436019910e-01  2.1034002652415076e-01  3.1884363269283156e-01
  21  2.8306363882930102e-01  3.6299765687280788e-01  1.7485613329616997e-01  2.3531334814323124e-01
  23  3.7825062478272586e-01  3.2641917251369695e-01  2.2973169632907547e-01  2.1314173883406695e-01
  25  3.4609292465965413e-01  3.1974413983247296e-01  2.2920275608264296e-01  1.7739663185890042e-01
  27  4.2276967321931774e-01  2.9324654331100081e-01  2.2472934614103354e-01  1.9534418594493808e-01
  29  3.1671085478997640e-01  4.3504266215851034e-01  2.0449607983317938e-01  1.8384981715995516e-01
  31  2.7739185398261468e-01  3.7333848066370678e-01  1.7065039382142824e-01  2.3272468831880588e-01
  33  3.5191650125513363e-01  3.1332138861817249e-01  1.5034734175628617e-01  1.7274145613913822e-01
  35  4.1339385788757554e-01  2.8994648971249826e-01  1.9653693548363352e-01  1.4504316927202879e-01
  37  3.5022972514959405e-01  3.8433272491252324e-01  1.9129359494021766e-01  1.4619829051979996e-01
  39  3.2687581235669377e-01  3.4461105072257969e-01  1.5391093851994303e-01  1.8234176531807422e-01
  41  3.2830886337627718e-01  4.0156069887313861e-01  1.3489778616161086e-01  1.5261873918519961e-01
  43  3.1146881115787095e-01  3.2363634089983784e-01  1.4350783655010579e-01  1.5422552114667321e-01
  45  4.0764836203434540e-01  2.9655768423700773e-01  1.3724207356024878e-01  1.2415706904689749e-01
  47  3.7709895953762151e-01  3.3984474385120489e-01  1.5351931802418503e-01  1.2278106201890998e-01
  49  3.1681646782353723e-01  4.1516632753669003e-01  1.3855277124517981e-01  1.2296041401638619e-01
  51  2.9280342014750949e-01  3.4485582717679397e-01  1.1715555242752944e-01  1.4849982099627351e-01
  53  3.8604976599655905e-01  3.2588558354236474e-01  1.0344316192528860e-01  1.1489110239858745e-01
  55  3.4786890593495395e-01  3.3123272954238625e-01  1.2637478737117036e-01  1.0914231555424099e-01
  57  3.8601670010331490e-01  3.2672712075165278e-01  1.1890509654223635e-01  9.9622280096312715e-02
  59  3.2736609362470748e-01  3.8789529800512179e-01  1.1074467560567232e-01  1.1188965897703929e-01
  61  3.1059758032971163e-01  3.7959233351597388e-01  9.7350149773374528e-02  9.8956970746756912e-02
  63  3.3140093554083472e-01  3.1992303873072386e-01  9.1686793116349100e-02  1.0759464871749058e-01
  65  4.1489007573492043e-01  2.9517740274265186e-01  8.7080097707491796e-02  8.2885682672101182e-02
  67  3.4354133798012781e-01  3.8430707520805574e-01  1.0049181435456807e-01  7.9274555446118583e-02
