  Particle         ID     Status                         E                        px                        py                        pz                         m          Charge    Visible
        33       -321         83    7.8253740786064174e+00   -4.4965099028675501e+00    6.1359827776588132e+00   -1.7674483226996329e+00    4.9368000000000001e-01              -1          1
        34        211         83    1.9693746575425685e+01   -1.1088650979087484e+01    1.5833054391760317e+01   -3.7656848625094037e+00    1.3957000000000000e-01               1          1
        41        211         83    1.5524822649126170e+01   -1.1047078219443868e+01    1.0902950908584829e+01    2.9725881046483171e-01    1.3957000000000000e-01               1          1
        46        321         84    2.4920477724922834e+00   -2.2432762812354912e+00    3.7833015736135395e-01   -8.8947173988887784e-01    4.9368000000000001e-01               1          1
        49       -211         83    1.9968378214779200e-01    1.4395430682723760e-02    9.7903442830772611e-02   -1.0296366062930767e-01    1.3957000000000000e-01              -1          1
        51       -211         84    2.3003688268725231e+00    1.5871508006292241e+00   -1.5884304778166130e+00    4.7964352174523184e-01    1.3957000000000000e-01              -1          1
        53        211         84    4.2370022733260386e+00    3.1023417614988236e+00   -2.8161627522411057e+00    6.1433820247498672e-01    1.3957000000000000e-01               1          1
        54      -2112         84    1.0297946587334247e+01    6.7395161874882925e+00   -7.7160836986900483e+00    4.5374667390736012e-01    9.3957000000000002e-01               0          1
        58       -321         91    5.1788280609806785e+00   -3.3917814217383921e+00    3.8590688007828122e+00   -4.2420150963415582e-01    4.9368000000000001e-01              -1          1
        59        211         91    1.8514303945169146e+00   -1.4171938952033476e+00    1.1759308079680091e+00    1.3062510903775976e-01    1.3957000000000000e-01               1          1
        60       -211         91    1.0210200313787695e+01   -6.6053145770498238e+00    7.7653760092025559e+00    5.4540392067238175e-01    1.3957000000000000e-01              -1          1
        62        321         91    7.8745545670401658e+00   -4.7860752105299555e+00    6.2309829849557143e+00    1.8227673256981483e-01    4.9368000000000001e-01               1          1
        63       -211         91    1.3261381983361842e+00   -9.3411546465935913e-01    9.2371924522083626e-01   -1.1547203505275461e-01    1.3957000000000000e-01              -1          1
        65       2212         91    1.0125431784391592e+00   -1.4787853137609230e-01    1.8981322245443152e-01    2.9495080241149940e-01    9.3827000000000005e-01               1          1
        67      -2112         91    1.1647198669603873e+00    5.2789440370181906e-01    3.9880454601416676e-01    1.8990264929945791e-01    9.3957000000000002e-01               0          1
        69       2112         91    4.6110600451172177e+00    2.7555116066636831e+00   -3.5643958417524999e+00   -2.8516841272415100e-01    9.3957000000000002e-01               0          1
        71        321         91    9.2677991537298283e+01    6.2084840074827348e+01   -6.8603173190866656e+01    5.2956261643167313e+00    4.9368000000000001e-01               1          1
        72       -211         91    5.2782531159774475e+00    3.4715027100424134e+00   -3.9522649868144000e+00    4.1078775492309622e-01    1.3957000000000000e-01              -1          1
        73        130         91    3.6620578393878414e+00   -2.2128613853885852e+00    2.8298009399540023e+00   -5.0845160656005139e-01    4.9761000000000000e-01               0          1
        74        211         91    9.9021299515656114e-01   -5.4905679845068978e-01    7.8547975963169880e-01   -2.0639808662130354e-01    1.3957000000000000e-01               1          1
        75       -211         91    4.5019094874717114e-01   -1.9156241417186856e-01    3.3829094651040442e-01   -1.7903961131441901e-01    1.3957000000000000e-01              -1          1
        77        211         91    7.1344059417086092e-01   -4.9039742391051122e-01    4.9772876627549018e-01    3.5974134523067323e-02    1.3957000000000000e-01               1          1
        78       -211         91    1.3426474509751989e+00   -8.9164848187862267e-01    9.8114671882808990e-01    1.5980141928850225e-01    1.3957000000000000e-01              -1          1
        80        211         91    3.8251318042515985e+00   -2.8002971987022387e+00    2.6009500704067547e+00    7.4483992834593088e-02    1.3957000000000000e-01               1          1
        81       -211         91    5.7495005393391363e+00   -4.1631463016212091e+00    3.9387116552936536e+00    4.3822372677958010e-01    1.3957000000000000e-01              -1          1
        85      -2212         91    3.0820567510775363e+00   -2.1463495775738513e+00    1.9236790029284982e+00   -5.5800162052021851e-01    9.3827000000000005e-01              -1          1
        90         22         91    4.5123425547697976e-01   -2.9333338243062029e-01    3.1375423323638602e-01    1.3829736510115861e-01    0.0000000000000000e+00               0          1
        91         22         91    3.8531327064452545e-02   -3.2192770081590633e-02    5.3162082482996892e-03   -2.0494551707279776e-02    0.0000000000000000e+00               0          1
        92         22         91    1.1418042539092825e+00   -6.8683879650957735e-01    9.0892041466376772e-01   -7.6374744922991761e-02    0.0000000000000000e+00               0          1
        93         22         91    1.8908966063478412e+00   -1.2555497821443000e+00    1.3999347188165390e+00   -1.9816029750491868e-01    0.0000000000000000e+00               0          1
        94        211         91    2.5883171393283161e-01    1.9800635719359860e-01    6.7064318204077822e-03   -9.0898721226242429e-02    1.3957000000000000e-01               1          1
        95       -211         91    3.9428629838316986e-01   -7.1376080908144929e-02    3.4623723488668490e-01   -1.0491488190394201e-01    1.3957000000000000e-01              -1          1
        96         22         91    1.1933546644005455e-01    5.4781210774369711e-02   -5.6653433770024277e-02    8.9612281181905562e-02    0.0000000000000000e+00               0          1
        97         22         91    1.0266841826513584e-01    9.9019646839939829e-02    2.5456665803374655e-02   -9.3739967427847459e-03    0.0000000000000000e+00               0          1
        98         22         91    3.2037635084567101e-01    2.6584096461735623e-01   -1.7827252191026169e-01    1.3729371590025897e-02    0.0000000000000000e+00               0          1
        99         22         91    1.4509644598108927e-02   -9.3197308751044941e-03    1.1002873206850769e-02   -1.6152968683832529e-03    0.0000000000000000e+00               0          1
       100         22         91    1.9469704659770308e+00    1.4327918205142873e+00   -1.3158451879101023e+00    7.9705933957260944e-02    0.0000000000000000e+00               0          1
       101         22         91    5.1375708632722561e-01    3.2779634517266720e-01   -3.9490661109388253e-01    2.3338130971161490e-02    0.0000000000000000e+00               0          1
       102         22         91    1.0569854908380041e+00   -5.7147734853279020e-01    8.2639426771857971e-01   -3.2818361055643930e-01    0.0000000000000000e+00               0          1
       103         22         91    5.3301981926687203e-01   -2.7584307570057615e-01    3.7951435888606866e-01   -2.5296161115598431e-01    0.0000000000000000e+00               0          1
       104         22         91    5.0584825763637664e-01   -2.8531249815946103e-01    4.0852729301374646e-01    8.7090120051737843e-02    0.0000000000000000e+00               0          1
       105         22         91    2.8343666926248821e+00   -1.8287832581092696e+00    2.1412590884185985e+00    3.2279383418106300e-01    0.0000000000000000e+00               0          1
       106         22         91    6.1110688384686824e+00   -4.4021351645063724e+00    4.1937066320013123e+00    6.1578651059246281e-01    0.0000000000000000e+00               0          1
       107         22         91    2.3808040055277169e+00   -1.7188181494425536e+00    1.6155993605174752e+00    3.2207233376870636e-01    0.0000000000000000e+00               0          1
       108       2212         91    8.6338019415316403e+00   -6.0330230943382377e+00    6.0634158948946961e+00   -7.0696916581654812e-01    9.3827000000000005e-01               1          1
       109       -211         91    1.7180780293334486e+00   -1.1518701563849241e+00    1.2434745592855083e+00   -2.4347175034855342e-01    1.3957000000000000e-01              -1          1
       110         22         91    2.2282367499933589e+00   -1.6112919158504819e+00    1.5365352146639979e+00   -8.8526323956845954e-02    0.0000000000000000e+00               0          1
       111         11         91    8.3295925258265013e-02   -5.0293653505233141e-02    6.6314421269440163e-02    3.3009078183492196e-03    5.1099999999999995e-04              -1          1
       112        -11         91    1.4260136717297678e-01   -8.2979812181668666e-02    1.1593938942404555e-01    2.7013975784063084e-03    5.1099999999999995e-04               1          1
